[2022-01-04 21:58:11]	操作0	退出


[2022-01-04 22:02:28]	操作1	采编文献
[2022-01-04 22:03:13]	操作2	清除某文献库存
[2022-01-04 22:03:30]	操作1	采编文献
[2022-01-04 22:03:44]	操作2	清除某文献库存
[2022-01-05 16:59:09]	操作8	读取文献信息
[2022-01-05 21:34:54]	操作1	添加文献
[2022-01-05 21:35:03]	操作1	添加文献
[2022-01-05 21:35:09]	[2022-01-05 21:35:09]	[2022-01-05 21:35:09]	[2022-01-05 21:35:16]	操作1	添加文献
[2022-01-05 21:35:29]	操作6	查看某文献信息
[2022-01-05 21:35:34]	[2022-01-05 21:35:34]	[2022-01-05 21:35:34]	[2022-01-05 21:35:34]	[2022-01-05 21:35:47]	操作2	清除某文献库存
[2022-01-05 21:35:56]	操作5	查看全部文献
[2022-01-05 21:36:01]	操作1	添加文献
[2022-01-05 21:36:05]	[2022-01-05 21:36:05]	[2022-01-05 21:36:05]	[2022-01-05 21:36:08]	操作1	添加文献
[2022-01-05 21:36:15]	操作2	清除某文献库存
[2022-01-05 21:36:19]	[2022-01-05 21:36:19]	[2022-01-05 21:36:23]	操作2	清除某文献库存
[2022-01-05 21:36:29]	[2022-01-05 21:36:29]	[2022-01-05 21:36:32]	操作2	清除某文献库存
[2022-02-14 19:56:45]	操作8	读取文献信息
[2022-02-14 19:57:23]	操作8	读取文献信息
